File: linko
Build ID: fac0ecd0411de9569b107dff6d8664a3003fa5ee
Type: cpu
Time: 2026-08-11 14:59:35 BST
Duration: 30.01s, Total samples = 11.13s (37.09%)
Showing nodes accounting for 10.96s, 98.47% of 11.13s total
Dropped 123 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
    10.72s 96.32% 96.32%     10.75s 96.59%  golang.org/x/crypto/blowfish.encryptBlock
     0.18s  1.62% 97.93%     10.91s 98.02%  golang.org/x/crypto/blowfish.ExpandKey
     0.06s  0.54% 98.47%      0.06s  0.54%  internal/runtime/syscall/linux.Syscall6
         0     0% 98.47%     10.93s 98.20%  golang.org/x/crypto/bcrypt.GenerateFromPassword
         0     0% 98.47%     10.93s 98.20%  golang.org/x/crypto/bcrypt.bcrypt
         0     0% 98.47%     10.92s 98.11%  golang.org/x/crypto/bcrypt.expensiveBlowfishSetup
         0     0% 98.47%     10.93s 98.20%  golang.org/x/crypto/bcrypt.newFromPassword
         0     0% 98.47%     10.95s 98.38%  main.(*server).handlerRedirect
         0     0% 98.47%        11s 98.83%  main.newServer.metricsMiddleware.func5
         0     0% 98.47%        11s 98.83%  main.newServer.newServer.requestIdMiddleware.func1.func4
         0     0% 98.47%        11s 98.83%  main.newServer.newServer.requestLogger.func2.func3
         0     0% 98.47%     10.97s 98.56%  net/http.(*ServeMux).ServeHTTP
         0     0% 98.47%     11.04s 99.19%  net/http.(*conn).serve
         0     0% 98.47%        11s 98.83%  net/http.HandlerFunc.ServeHTTP
         0     0% 98.47%        11s 98.83%  net/http.serverHandler.ServeHTTP
         0     0% 98.47%      0.06s  0.54%  syscall.RawSyscall6
